"clarity","city","color","cut","x","y","z","depth","table","price","carat"
SI1,Kimberly,E,Premium,5.84,5.8,3.44,59.1,61.0,2863,0.71
VS1,Tel Aviv,E,Ideal,5.16,5.22,3.16,60.9,56.0,1759,0.51
I1,Paris,F,Fair,4.72,4.6,2.6,55.8,62.0,2160,0.34
I1,Madrid,I,Premium,8.25,8.12,5.0,61.1,61.0,7403,2.04
SI1,Surat,I,Premium,6.6,6.55,4.12,62.7,57.0,4805,1.1
VS2,Zurich,F,Ideal,4.54,4.58,2.8,61.4,54.0,706,0.35
VS2,New York City,F,Ideal,7.43,7.41,4.48,60.4,57.0,14199,1.5
VS2,Antwerp,E,Ideal,5.27,5.32,3.28,61.9,56.0,1819,0.56
VS2,Luxembourg,E,Premium,7.29,7.25,4.46,61.3,58.0,11269,1.41
VS1,Antwerp,E,Very Good,4.21,4.24,2.61,61.8,55.0,489,0.28
VVS2,London,G,Good,4.27,4.29,2.73,63.8,56.0,684,0.3
VVS2,Surat,F,Very Good,3.91,3.93,2.48,63.3,57.0,505,0.23
VVS2,Zurich,G,Ideal,5.11,5.15,3.19,62.2,53.4,1859,0.51
SI1,Zurich,E,Premium,7.39,7.25,4.49,61.3,59.0,10819,1.5
SI2,Zurich,J,Ideal,7.09,7.03,4.38,62.0,56.0,5358,1.34
SI2,Madrid,E,Very Good,6.56,6.59,3.92,59.6,61.0,4355,1.01
VS2,Zurich,I,Ideal,4.72,4.75,2.88,60.8,56.0,698,0.39
VVS1,Madrid,E,Very Good,6.35,6.5,4.02,62.6,56.0,9498,1.02
SI1,Amsterdam,E,Premium,4.8,4.76,2.91,60.9,56.0,945,0.4
VS2,Zurich,D,Very Good,4.79,4.86,3.03,62.8,58.0,850,0.44
SI1,London,I,Good,7.26,7.22,4.61,63.7,58.0,8464,1.51
SI2,London,H,Ideal,5.13,5.15,3.17,61.7,55.0,1435,0.51
VVS2,Kimberly,J,Premium,7.31,7.27,4.48,61.5,60.0,8870,1.5
SI1,Luxembourg,F,Ideal,6.17,6.13,3.83,62.3,56.0,4103,0.9
VVS2,Amsterdam,E,Premium,4.32,4.27,2.66,61.9,59.0,1013,0.3
SI2,Surat,I,Fair,6.23,6.27,4.11,65.8,58.0,3348,1.0
VVS1,New York City,G,Ideal,3.93,3.96,2.44,61.9,58.0,536,0.23
VVS2,Antwerp,E,Ideal,4.28,4.32,2.68,62.3,56.0,766,0.3
SI2,Paris,E,Ideal,5.05,5.11,3.18,62.6,56.0,1104,0.5
VVS2,New York City,E,Premium,4.42,4.36,2.7,61.5,58.0,1080,0.32
SI2,Surat,D,Premium,6.67,6.63,3.88,58.3,58.0,3780,1.04
SI1,Antwerp,F,Good,6.31,6.37,4.03,63.6,58.0,4899,1.01
SI2,Luxembourg,E,Ideal,4.68,4.71,2.94,62.6,54.0,644,0.4
SI2,Dubai,J,Very Good,6.85,6.92,4.23,61.4,55.0,4636,1.2
VVS1,Surat,H,Ideal,4.85,4.8,2.98,61.8,55.0,1035,0.42
VS1,Surat,G,Ideal,7.65,7.58,4.8,63.0,56.0,17009,1.71
SI2,Antwerp,I,Premium,5.72,5.78,3.47,60.3,58.0,1821,0.71
SI1,London,I,Very Good,4.78,4.82,2.94,61.2,60.0,626,0.42
SI2,Amsterdam,I,Premium,7.34,7.24,4.55,62.4,55.0,6742,1.47
VS1,Paris,G,Ideal,4.79,4.83,2.94,61.1,55.0,1121,0.41
SI1,Surat,D,Very Good,6.64,6.68,4.01,60.2,55.0,6002,1.07
SI1,Zurich,D,Ideal,5.5,5.55,3.43,62.1,56.0,1967,0.64
VS2,Amsterdam,G,Very Good,5.77,5.81,3.5,60.4,61.0,2492,0.71
SI2,Surat,D,Good,5.81,5.78,3.7,63.8,58.0,2665,0.77
SI1,Kimberly,D,Premium,4.75,4.74,2.9,61.1,58.0,990,0.4
VS2,Surat,F,Very Good,5.23,5.28,3.25,61.8,57.0,1676,0.55
VVS2,Antwerp,I,Good,5.64,5.71,3.58,63.1,58.0,2428,0.71
SI2,Antwerp,F,Premium,6.38,6.35,3.75,58.9,59.0,3282,0.92
SI1,Antwerp,H,Ideal,6.73,6.67,4.17,62.2,57.0,4916,1.14
SI2,Kimberly,I,Very Good,6.8,6.86,4.24,62.1,59.0,4791,1.21
SI1,Antwerp,E,Very Good,5.1,5.15,3.13,61.1,55.0,1337,0.5
SI1,Kimberly,F,Premium,5.34,5.3,3.2,60.1,58.0,1374,0.55
IF,London,I,Ideal,4.5,4.53,2.78,61.6,54.0,695,0.34
SI1,London,D,Ideal,6.73,6.76,4.18,62.0,56.0,5805,1.16
VS2,Antwerp,H,Premium,5.9,5.86,3.68,62.6,61.0,2726,0.79
VVS2,Madrid,G,Premium,5.86,5.78,3.47,59.6,61.0,2737,0.7
IF,Dubai,F,Ideal,5.32,5.36,3.28,61.3,56.0,2656,0.57
VVS1,Antwerp,G,Ideal,4.49,4.52,2.75,61.0,56.0,971,0.33
VS2,Zurich,E,Premium,5.82,5.77,3.45,59.5,59.0,2862,0.7
VVS1,London,D,Ideal,4.55,4.52,2.79,61.5,57.0,1247,0.35
VS2,New York City,E,Ideal,5.47,5.49,3.3,60.2,59.0,1941,0.59
VS2,Antwerp,D,Very Good,4.74,4.77,2.79,58.7,61.0,871,0.38
VS2,Zurich,H,Ideal,6.67,6.72,4.19,62.6,53.0,6753,1.14
VS2,Antwerp,D,Ideal,5.09,5.06,3.14,61.9,57.0,1845,0.5
VS1,Antwerp,G,Ideal,5.91,5.93,3.67,62.0,56.0,3413,0.79
SI2,Kimberly,E,Premium,8.32,8.25,4.81,58.1,60.0,15984,2.0
VS1,Surat,F,Premium,6.61,6.52,3.97,60.5,56.0,7197,1.02
SI1,New York City,E,Ideal,6.52,6.49,3.95,60.7,57.0,4853,1.01
VS1,Amsterdam,E,Ideal,4.32,4.35,2.68,61.8,56.0,670,0.3
IF,Surat,D,Good,5.06,5.11,2.98,58.6,59.0,2139,0.46
VS2,Surat,G,Ideal,6.38,6.36,3.97,62.3,56.0,5824,1.0
SI2,Luxembourg,D,Very Good,8.12,7.99,5.08,63.1,59.0,12765,2.03
SI1,Zurich,H,Good,4.82,4.85,3.07,63.5,57.0,733,0.44
VS2,Paris,E,Very Good,5.71,5.75,3.45,60.2,62.0,2843,0.7
SI1,Antwerp,D,Good,4.5,4.53,2.86,63.3,56.0,601,0.35
SI1,Antwerp,F,Premium,6.53,6.5,3.86,59.2,58.0,5038,1.02
VS1,Kimberly,F,Ideal,6.79,6.83,4.24,62.3,57.0,9920,1.22
SI2,Madrid,G,Fair,6.89,6.81,4.52,66.0,58.0,4627,1.35
VVS2,Surat,G,Very Good,4.49,4.54,2.81,62.2,58.0,798,0.35
VVS2,Antwerp,E,Premium,4.56,4.52,2.8,61.7,59.0,1102,0.36
VS1,Paris,D,Ideal,5.23,5.19,3.21,61.6,56.0,2340,0.53
SI1,Amsterdam,E,Very Good,5.25,5.3,3.22,61.0,61.0,1551,0.55
SI1,Kimberly,H,Premium,5.4,5.46,3.22,59.3,58.0,1218,0.57
VS1,London,E,Ideal,4.62,4.65,2.88,62.1,57.0,1027,0.38
VVS2,Luxembourg,E,Ideal,4.91,4.88,3.03,61.9,56.0,1334,0.44
VVS2,Luxembourg,D,Ideal,6.8,6.82,4.27,62.7,54.0,14033,1.2
SI2,Kimberly,G,Ideal,4.58,4.61,2.84,61.8,56.0,565,0.36
IF,Madrid,H,Ideal,4.82,4.84,2.98,61.7,55.0,1216,0.42
VVS2,Surat,G,Good,6.32,6.37,3.73,58.8,57.0,5390,0.92
SI1,Madrid,E,Very Good,5.06,5.01,3.14,62.4,58.0,1090,0.5
VS1,Zurich,H,Ideal,6.97,7.02,4.32,61.8,56.0,9273,1.29
VS1,Las Vegas,J,Good,8.47,8.55,5.05,59.3,61.0,17051,2.27
SI1,Luxembourg,I,Very Good,4.65,4.68,2.81,60.2,60.0,581,0.38
SI1,Luxembourg,F,Ideal,4.34,4.36,2.67,61.4,55.0,475,0.3
VVS2,Zurich,E,Ideal,4.33,4.36,2.67,61.4,55.0,949,0.3
SI2,Las Vegas,G,Premium,6.61,6.55,4.02,61.1,62.0,4238,1.06
SI2,Antwerp,D,Good,5.14,5.1,3.27,63.9,55.0,1318,0.53
VS1,Antwerp,H,Premium,7.5,7.41,4.44,59.6,60.0,10655,1.51
SI2,Madrid,I,Ideal,8.22,8.17,5.01,61.1,56.0,11172,2.03
SI1,New York City,I,Good,6.23,6.3,4.11,65.6,56.0,4042,1.0
VVS1,New York City,G,Ideal,4.41,4.39,2.72,61.8,56.0,1008,0.32
I1,Paris,J,Very Good,6.12,6.06,3.84,63.1,57.0,2048,0.91
VS2,Surat,D,Premium,6.61,6.54,3.93,59.8,61.0,6909,1.02
VVS1,New York City,I,Very Good,4.31,4.25,2.7,63.1,59.0,732,0.31
VS2,Tel Aviv,D,Ideal,5.11,5.13,3.17,61.9,57.0,1787,0.51
SI1,Luxembourg,J,Very Good,8.21,8.25,5.18,62.9,59.0,13812,2.18
VS1,Paris,G,Ideal,5.11,5.14,3.19,62.2,55.0,1656,0.51
SI1,Amsterdam,G,Ideal,5.0,5.03,3.05,60.8,56.0,1163,0.47
VS1,Surat,H,Ideal,5.74,5.76,3.51,61.0,56.0,2492,0.7
VS2,London,H,Premium,6.54,6.46,3.91,60.2,62.0,5432,1.02
VS1,Tel Aviv,G,Good,5.98,5.93,3.79,63.6,57.0,3316,0.84
VS1,Amsterdam,J,Premium,6.23,6.19,3.87,62.3,56.0,3175,0.9
VS2,Antwerp,I,Very Good,6.98,7.04,4.33,61.8,56.0,7087,1.3
SI1,Antwerp,I,Premium,6.89,6.87,4.29,62.4,59.0,4791,1.24
VVS2,Kimberly,G,Premium,5.17,5.11,3.13,60.9,61.0,2035,0.51
VS1,Paris,G,Very Good,5.08,5.15,3.12,61.0,58.0,1694,0.5
SI1,Antwerp,E,Premium,7.37,7.3,4.6,62.7,58.0,10314,1.54
SI2,Antwerp,E,Very Good,5.65,5.7,3.49,61.5,60.0,2263,0.7
SI2,Kimberly,H,Ideal,6.58,6.52,3.96,60.5,57.0,3692,1.03
VS2,Paris,F,Very Good,5.93,6.01,3.66,61.3,55.0,3954,0.8
VVS1,Tel Aviv,G,Very Good,6.61,6.66,4.08,61.5,57.0,8020,1.1
VS1,Amsterdam,H,Ideal,5.76,5.79,3.55,61.6,56.0,3274,0.72
VS2,Surat,F,Very Good,5.06,5.11,3.2,62.9,57.0,1436,0.5
SI1,Zurich,I,Very Good,6.73,6.77,4.09,60.6,60.0,4312,1.12
SI1,Dubai,H,Ideal,6.73,6.66,4.15,62.0,57.0,5050,1.13
VS1,Antwerp,F,Very Good,4.78,4.82,2.97,61.9,55.0,1031,0.42
VS2,Surat,H,Ideal,5.67,5.63,3.55,62.8,55.0,2607,0.7
VVS2,Dubai,H,Ideal,4.82,4.79,2.92,60.8,55.0,1125,0.4
SI2,New York City,H,Premium,6.59,6.57,4.06,61.7,60.0,4578,1.09
VS1,London,J,Ideal,6.96,6.92,4.3,62.0,57.0,5008,1.27
VS2,Zurich,F,Premium,4.36,4.4,2.69,61.4,58.0,625,0.31
VS2,Surat,H,Premium,6.22,6.18,3.83,61.8,60.0,4238,0.91
VS1,Kimberly,I,Good,4.3,4.33,2.75,63.7,55.0,489,0.31
VS1,Antwerp,F,Premium,5.7,5.62,3.55,62.7,59.0,2839,0.71
VVS2,Surat,G,Premium,5.16,5.14,3.15,61.2,59.0,2012,0.52
SI1,Surat,G,Premium,6.54,6.48,4.03,61.9,56.0,5037,1.03
VS2,Surat,H,Ideal,6.77,6.8,4.27,62.9,55.0,7513,1.21
VS2,London,D,Very Good,5.14,5.18,3.23,62.6,58.0,1682,0.53
SI1,Antwerp,H,Fair,5.09,5.06,3.16,62.3,60.0,1078,0.5
VS1,Antwerp,G,Ideal,5.36,5.41,3.31,61.5,55.0,1911,0.58
VS1,Tel Aviv,H,Good,6.3,6.34,4.03,63.8,59.0,5416,1.01
SI1,Surat,H,Good,6.47,6.53,4.17,64.2,58.0,4523,1.11
SI2,Las Vegas,F,Very Good,5.38,5.45,3.4,62.9,56.6,1437,0.61
VS1,Zurich,G,Ideal,4.43,4.4,2.7,61.2,57.0,828,0.32
SI1,Surat,D,Premium,6.41,6.29,3.94,62.0,58.0,4704,1.0
SI2,Tel Aviv,F,Very Good,6.98,7.02,4.28,61.1,58.0,6149,1.3
SI2,Amsterdam,D,Ideal,5.82,5.89,3.54,60.5,57.0,3176,0.72
SI1,New York City,E,Very Good,5.89,5.93,3.56,60.2,60.0,2968,0.75
VS2,Kimberly,G,Premium,5.56,5.5,3.38,61.1,59.0,1841,0.62
SI1,Las Vegas,G,Very Good,5.36,5.47,3.31,61.1,57.0,1554,0.6
VS2,Antwerp,F,Very Good,5.06,5.09,3.17,62.5,56.0,1436,0.5
SI1,Luxembourg,F,Premium,6.22,6.21,3.86,62.1,60.0,4420,0.92
SI2,London,E,Ideal,4.42,4.44,2.7,61.0,56.0,427,0.32
IF,Kimberly,G,Ideal,6.36,6.43,3.82,59.8,59.0,6951,0.95
VS1,Tel Aviv,H,Premium,6.82,6.74,4.25,62.7,56.0,7105,1.22
VS1,Luxembourg,I,Ideal,6.84,6.8,4.23,62.1,57.0,6324,1.2
SI2,Paris,D,Fair,5.25,5.22,3.41,65.1,58.0,1156,0.58
VS1,Paris,E,Good,6.32,6.35,4.03,63.6,59.0,7260,1.0
IF,Tel Aviv,G,Very Good,6.51,6.57,3.81,58.3,62.0,8002,1.0
VS2,Kimberly,E,Ideal,5.19,5.21,3.22,61.9,56.0,1721,0.53
VVS2,Paris,H,Very Good,6.6,6.66,3.92,59.1,60.0,6166,1.04
VS1,Zurich,G,Ideal,5.13,5.16,3.2,62.2,55.0,1599,0.51
VS2,Surat,J,Ideal,5.87,5.91,3.64,61.8,54.0,2026,0.76
SI2,Antwerp,I,Premium,6.66,6.62,4.07,61.3,55.0,4120,1.09
SI1,Antwerp,E,Very Good,4.8,4.83,3.03,62.9,56.0,792,0.43
SI2,Surat,E,Premium,5.35,5.3,3.33,62.5,54.0,1058,0.57
VS1,Amsterdam,G,Very Good,6.98,7.01,4.36,62.3,58.0,9105,1.29
VS1,Las Vegas,H,Premium,5.36,5.31,3.19,59.8,62.0,1653,0.56
VS2,Surat,J,Very Good,6.86,6.92,4.13,59.9,59.0,4754,1.21
VVS1,Paris,E,Ideal,4.09,4.11,2.53,61.7,56.0,635,0.26
SI1,Dubai,F,Very Good,6.37,6.42,3.96,61.9,57.0,4619,1.01
VVS1,Paris,E,Ideal,4.85,4.8,2.93,60.7,57.0,1431,0.41
SI1,Tel Aviv,D,Premium,4.93,4.89,2.95,60.1,58.0,1064,0.43
VS1,Madrid,H,Ideal,4.29,4.34,2.69,62.3,55.0,526,0.3
SI1,Paris,I,Ideal,6.45,6.39,3.94,61.4,56.0,4200,1.0
VS2,Madrid,D,Ideal,4.79,4.77,2.94,61.5,57.0,1076,0.41
VS1,Luxembourg,E,Premium,5.26,5.32,3.19,60.3,58.0,1939,0.54
SI2,Tel Aviv,I,Good,6.17,6.21,3.76,60.7,58.0,3057,0.9
IF,Tel Aviv,G,Ideal,6.7,6.73,4.16,62.0,57.0,9901,1.16
VVS1,Surat,E,Premium,4.21,4.18,2.57,61.3,60.0,828,0.28
VS2,Zurich,I,Premium,8.08,7.97,4.94,61.6,61.0,16149,2.01
SI1,Zurich,F,Ideal,6.66,6.69,4.11,61.6,54.0,6621,1.1
VS1,Amsterdam,E,Ideal,4.27,4.31,2.68,62.5,56.0,694,0.3
SI2,Antwerp,G,Ideal,5.27,5.32,3.27,61.8,55.0,1228,0.55
I1,Surat,J,Premium,6.92,6.85,4.26,61.9,55.0,2994,1.24
SI2,Amsterdam,H,Premium,7.6,7.52,4.57,60.4,58.0,8887,1.58
VS1,London,E,Ideal,5.11,5.15,3.21,62.6,57.0,1668,0.52
VS1,Madrid,E,Very Good,6.44,6.39,4.05,63.1,56.0,9955,1.01
VS2,Antwerp,F,Premium,5.13,5.09,3.14,61.4,58.0,1619,0.51
VVS1,Amsterdam,H,Ideal,4.42,4.44,2.77,62.5,56.0,702,0.33
VS2,Antwerp,I,Good,5.81,5.78,3.33,57.5,62.0,2268,0.7
I1,Las Vegas,J,Premium,8.1,8.07,4.95,61.2,58.0,5203,2.06
VVS1,Surat,D,Ideal,4.6,4.59,2.85,62.0,56.0,1292,0.37
VS2,Luxembourg,F,Very Good,5.64,5.45,3.52,63.5,56.0,2250,0.7
SI1,Luxembourg,E,Ideal,4.58,4.53,2.82,61.9,56.0,810,0.36
VS1,Zurich,G,Very Good,4.22,4.24,2.64,62.4,58.0,605,0.3
VS1,Kimberly,G,Good,4.95,5.0,2.96,59.5,61.4,1179,0.46
VVS1,Surat,G,Ideal,4.74,4.78,2.97,62.4,54.0,1043,0.4
VS2,London,G,Ideal,4.52,4.45,2.82,62.9,55.0,765,0.34
VS1,Paris,H,Very Good,6.18,6.26,3.84,61.7,58.0,4466,0.9
VS1,Madrid,H,Ideal,7.01,6.98,4.35,62.2,57.0,5962,1.3
VS2,Antwerp,G,Premium,4.36,4.33,2.71,62.4,59.0,720,0.32
VS2,Surat,D,Very Good,5.22,5.25,3.17,60.6,56.0,1822,0.52
VS2,Kimberly,F,Ideal,4.32,4.34,2.68,61.9,56.0,573,0.3
VS1,Kimberly,G,Ideal,5.4,5.47,3.33,61.3,57.0,2105,0.6
VVS1,Kimberly,E,Very Good,5.22,5.24,3.14,59.9,57.0,2501,0.51
SI1,Antwerp,E,Ideal,4.77,4.81,2.9,60.5,57.0,737,0.4
VS2,Kimberly,H,Very Good,6.47,6.54,3.88,59.6,59.0,4978,1.0
VS1,Dubai,G,Very Good,6.67,6.61,4.21,63.4,58.0,7171,1.14
SI2,Dubai,E,Very Good,7.86,7.8,4.96,63.3,61.0,15618,2.01
VVS2,Surat,G,Good,6.1,6.14,3.83,62.6,63.0,4485,0.9
SI1,Tel Aviv,G,Very Good,6.82,6.88,4.23,61.8,58.0,6656,1.22
SI1,Surat,D,Good,5.06,5.09,3.21,63.3,57.0,1423,0.51
VVS2,Dubai,E,Ideal,4.33,4.35,2.71,62.4,53.0,791,0.31
VS2,Antwerp,H,Very Good,4.61,4.64,2.78,60.1,56.0,567,0.35
SI1,Surat,I,Good,4.34,4.31,2.76,63.8,55.0,523,0.31
VS2,Zurich,E,Premium,5.22,5.2,3.14,60.3,59.0,1781,0.51
SI2,Amsterdam,F,Very Good,4.6,4.7,2.8,60.2,60.0,487,0.37
VVS2,Dubai,G,Very Good,4.31,4.28,2.72,63.3,57.0,907,0.31
VS1,Kimberly,F,Premium,4.75,4.76,2.87,60.4,59.0,982,0.4
VS2,Dubai,F,Ideal,5.7,5.67,3.57,62.8,56.0,2573,0.7
SI1,Antwerp,F,Premium,4.88,4.84,2.94,60.5,60.0,1016,0.43
VVS1,New York City,H,Ideal,6.85,6.91,4.27,61.9,55.0,8693,1.24
VVS2,Surat,I,Premium,4.4,4.38,2.71,61.7,58.0,698,0.31
VVS2,Dubai,D,Ideal,5.14,5.18,3.2,62.0,56.0,2426,0.52
SI2,Dubai,F,Very Good,6.92,6.77,4.35,63.4,57.0,4977,1.29
IF,Paris,F,Ideal,4.26,4.3,2.67,62.4,56.0,886,0.3
VVS1,Surat,H,Ideal,5.76,5.81,3.5,60.5,58.0,2947,0.7
VVS1,Amsterdam,F,Ideal,4.79,4.77,2.98,62.3,56.0,1236,0.41
SI2,Luxembourg,G,Premium,6.5,6.47,3.85,59.4,62.0,4172,1.0
VS2,Dubai,G,Very Good,4.67,4.7,2.9,61.9,59.0,772,0.4
VS1,Kimberly,G,Very Good,5.75,5.8,3.58,62.0,57.0,2825,0.73
SI1,Las Vegas,F,Good,5.13,5.1,3.03,59.3,64.0,994,0.48
SI1,Tel Aviv,H,Premium,5.34,5.24,3.33,62.9,60.0,1265,0.59
VS1,Amsterdam,J,Good,6.43,6.49,3.88,60.1,62.4,4582,1.03
SI2,Antwerp,E,Ideal,7.44,7.37,4.61,62.3,55.0,6901,1.55
SI1,New York City,D,Ideal,6.68,6.71,4.04,60.3,57.0,6539,1.08
SI1,Tel Aviv,G,Ideal,6.57,6.61,4.11,62.4,56.0,5496,1.09
VVS2,Kimberly,H,Premium,4.45,4.42,2.73,61.6,58.0,854,0.33
VS2,Las Vegas,G,Ideal,4.72,4.78,2.95,62.1,57.0,827,0.41
IF,Dubai,I,Ideal,4.69,4.71,2.93,62.3,54.0,895,0.39
VS1,Amsterdam,F,Very Good,4.0,4.05,2.5,62.1,58.0,436,0.25
VS2,Las Vegas,G,Good,7.29,7.25,4.63,63.7,57.0,10669,1.5
SI2,Luxembourg,F,Ideal,5.97,6.02,3.74,62.4,54.0,2799,0.82
VS2,Surat,E,Ideal,4.48,4.5,2.76,61.5,56.0,702,0.34
VVS2,Zurich,G,Ideal,5.13,5.14,3.13,61.0,56.0,1779,0.5
SI1,Tel Aviv,F,Premium,4.37,4.39,2.65,60.5,60.0,516,0.31
VVS1,Surat,G,Ideal,4.38,4.41,2.73,62.3,56.0,796,0.32
SI2,Madrid,G,Very Good,6.17,6.23,3.88,62.6,58.0,4194,0.95
VS2,Luxembourg,G,Premium,4.39,4.37,2.74,62.6,58.0,720,0.32
SI1,Zurich,F,Very Good,4.78,4.81,2.99,62.3,56.0,788,0.42
SI1,Surat,G,Very Good,6.45,6.42,3.95,61.4,57.0,4919,1.0
SI1,Madrid,F,Premium,5.74,5.7,3.53,61.7,58.0,2527,0.73
VS2,New York City,D,Ideal,5.1,5.07,3.2,62.9,56.0,1716,0.51
SI1,Antwerp,F,Premium,5.7,5.64,3.47,61.2,59.0,2239,0.7
SI2,Kimberly,F,Very Good,6.15,6.19,3.85,62.4,58.0,3569,0.9
VVS1,Amsterdam,H,Premium,5.87,5.78,3.45,59.2,60.0,2840,0.7
VS1,Surat,I,Good,4.33,4.3,2.75,63.7,55.0,628,0.31
VVS1,Dubai,H,Ideal,7.34,7.4,4.51,61.2,57.0,14304,1.5
SI1,Kimberly,I,Very Good,4.3,4.33,2.65,61.4,58.0,394,0.3
SI2,New York City,E,Ideal,6.2,6.23,3.82,61.5,56.0,3968,0.91
VS1,Kimberly,G,Ideal,5.16,5.21,3.13,60.2,57.0,1632,0.51
VS1,Kimberly,I,Ideal,6.45,6.41,4.04,62.9,43.0,4997,1.04
SI1,Las Vegas,G,Good,5.68,5.72,3.52,61.8,62.0,2155,0.7
VS1,Antwerp,E,Very Good,4.67,4.72,2.94,62.6,56.0,1053,0.4
VVS1,Las Vegas,G,Very Good,5.06,5.09,3.21,63.3,53.0,1885,0.5
VS2,Antwerp,G,Good,6.64,6.59,3.75,56.7,62.0,4838,1.0
I1,Zurich,D,Premium,6.78,6.74,4.18,61.8,59.0,3711,1.16
VS2,Kimberly,F,Premium,4.41,4.45,2.69,60.7,58.0,645,0.32
SI1,Paris,F,Good,4.69,4.73,2.97,63.1,56.0,685,0.41
VS2,Madrid,F,Premium,7.23,7.35,4.52,62.0,60.0,14165,1.51
SI2,Paris,G,Premium,7.52,7.49,4.46,59.4,60.0,7848,1.54
VVS1,Las Vegas,I,Ideal,5.85,5.89,3.57,60.8,57.0,2822,0.74
SI2,Zurich,I,Premium,8.08,8.04,5.06,62.8,59.0,13182,2.03
VS1,Las Vegas,E,Good,5.53,5.63,3.24,58.1,63.0,2065,0.6
SI1,Las Vegas,F,Premium,5.8,5.83,3.51,60.4,58.0,2297,0.71
SI2,Zurich,F,Premium,8.28,8.33,5.0,60.2,59.0,18784,2.05
VS1,Zurich,E,Very Good,7.45,7.47,4.4,59.0,62.0,15957,1.5
VVS2,Dubai,F,Good,4.32,4.38,2.72,62.5,61.0,619,0.32
VS1,London,I,Ideal,4.46,4.41,2.73,61.6,57.0,668,0.33
VS2,Antwerp,I,Premium,6.8,6.75,4.26,62.9,58.0,5649,1.22
VS1,Surat,H,Ideal,7.84,7.78,4.84,62.0,57.0,16683,1.8
VS2,Antwerp,D,Ideal,5.28,5.24,3.19,60.6,57.0,1956,0.53
VS1,Surat,F,Premium,5.39,5.35,3.28,61.1,59.0,2668,0.58
VS2,Surat,H,Very Good,7.27,7.24,4.61,63.5,60.0,10822,1.51
VS2,Kimberly,F,Premium,6.41,6.36,3.95,61.9,59.0,6640,1.0
VS2,Tel Aviv,G,Ideal,4.83,4.78,3.0,62.4,54.0,1087,0.42
VS1,Dubai,D,Ideal,5.76,5.79,3.55,61.5,58.0,4196,0.73
VS2,London,G,Very Good,6.59,6.65,4.1,61.9,57.0,6369,1.1
SI1,New York City,E,Ideal,4.39,4.42,2.71,61.5,55.0,547,0.31
VVS2,Zurich,E,Ideal,6.5,6.53,3.95,60.6,59.0,10003,1.03
VVS2,Kimberly,D,Very Good,3.93,3.97,2.42,61.3,58.0,530,0.23
IF,Dubai,E,Very Good,6.78,6.86,4.04,59.2,57.0,12895,1.15
VS1,Kimberly,F,Ideal,5.72,5.76,3.54,61.7,55.0,3154,0.7
VS1,London,H,Very Good,5.74,5.77,3.56,61.9,59.1,2709,0.74
VVS2,Kimberly,E,Very Good,3.98,4.0,2.52,63.2,59.0,548,0.25
SI1,Luxembourg,I,Ideal,4.35,4.29,2.7,62.5,56.0,537,0.31
VS2,Kimberly,G,Ideal,4.28,4.3,2.66,62.0,56.0,556,0.3
VS2,Luxembourg,G,Very Good,6.53,6.49,3.94,60.5,60.0,6906,1.02
VS2,Luxembourg,F,Premium,7.12,7.06,4.32,60.9,59.0,10423,1.32
SI1,Kimberly,D,Ideal,4.29,4.33,2.68,62.2,55.0,552,0.3
VS2,Luxembourg,I,Good,5.69,5.64,3.61,63.7,58.0,2144,0.73
SI1,Paris,E,Ideal,5.18,5.22,3.22,61.9,55.0,1435,0.53
VS2,Madrid,H,Very Good,6.34,6.3,3.99,63.1,59.0,5260,1.01
VS2,Las Vegas,H,Premium,6.49,6.43,3.99,61.8,58.0,5100,1.02
VS2,Surat,G,Premium,6.87,6.8,4.24,62.0,59.0,8431,1.23
SI1,Las Vegas,H,Premium,6.43,6.47,3.95,61.2,58.0,4559,1.01
I1,Tel Aviv,H,Fair,5.56,5.52,3.44,62.1,66.0,1138,0.7
SI1,Antwerp,D,Very Good,4.24,4.28,2.65,62.2,61.0,552,0.3
SI2,Antwerp,H,Ideal,8.13,8.08,5.11,63.0,57.0,16629,2.1
VS2,London,F,Ideal,6.53,6.57,4.09,62.4,55.0,7483,1.07
SI2,Amsterdam,F,Good,7.52,7.63,4.41,58.2,60.0,9028,1.52
VVS1,Paris,I,Very Good,4.33,4.36,2.73,62.8,55.0,571,0.31
SI2,Tel Aviv,I,Very Good,6.53,6.5,3.8,58.3,63.0,3360,1.0
VVS2,Madrid,H,Ideal,5.93,5.97,3.69,62.0,57.0,3497,0.81
VS1,Antwerp,E,Very Good,4.47,4.52,2.8,62.3,53.0,784,0.34
SI2,Tel Aviv,J,Very Good,6.08,6.12,3.86,63.3,59.0,2973,0.9
VS2,Zurich,F,Premium,7.06,7.02,4.36,61.9,58.0,10962,1.35
VS2,Antwerp,E,Ideal,5.74,5.77,3.58,62.2,59.0,3198,0.73
SI1,Madrid,E,Good,6.24,6.29,3.65,58.3,61.0,4165,0.9
VVS1,Kimberly,H,Ideal,5.76,5.82,3.47,59.9,59.0,2979,0.72
SI2,New York City,I,Ideal,8.28,8.31,5.06,61.0,57.0,15647,2.12
VS1,New York City,F,Premium,5.52,5.45,3.26,59.4,58.0,2142,0.6
SI1,Paris,H,Very Good,6.54,6.6,3.94,60.0,58.0,4876,1.01
VS1,Surat,G,Very Good,5.26,5.3,3.25,61.6,54.0,1665,0.54
SI1,Luxembourg,H,Ideal,6.47,6.49,3.94,60.8,58.0,5251,1.02
